City_ID,City_Name,Locality_ID,Locality_Name,Concatenate,File_Locality_Name,Script
2,Bangalore,#N/A,,BangaloreDoddabele,Doddabele,sbtmAux|wMz|@nr@UtLo[xWez@d@}^uXrFqGjAnAf@`@fCTv@c@R]GoA@iALcAP{@TYjAo@nA_AbBkCXe@P[j@m@h@YjCUlBNzAAnAKZs@?}@c@wAi@uAYs@^g@|@y@`AmAhAk@`B]~BYfCm@p@_@vA]p@Cp@Df@PBT?Li@xAHh@]dFCnBCh@O|@GL[~AVrAPNd@D`A]dAUdAEVCl@BtAtAzBjBxBrBdC~BvBnCZv@h@h@p@bBhBn@d@HhBC`DoC^QdA_@XJj@n@Tz@Kf@Yv@WvAbAaA@YPi@Bw@IcA]i@g@[e@CaANuAz@aClBk@Dy@IwA[oDqGeFuEkBgBuBaBeAmB[KaBLcBH}@\\QF_@?UOEg@B{@b@_A@uARs@EeB?o@Be@NmA^sBNSBm@Gm@o@Yw@GmA@yEvA_B\\kBL}AXy@b@aA~@o@`AWVa@\\K\\Dv@d@dBf@~@DNHP@d@SRWPQ?wAAsCOcDT_BvBgBxCmF~Dc@nCd@v@Bh@Ol@UDOCOBs@I{@o@eAqAi@h@hQoSp_@kc@
2,Bangalore,,,BangaloreKamath Layout,Kamath Layout,wgfnAeixwM_\\t}AyFQuHuE{GmLwCqKsBoMgDaVG_Ql@sX
2,Bangalore,,,BangaloreKaggalipura,Kaggalipura,ebhmA}q`xMdCyC~a@sa@p@eI|GoJFqNnOh@`c@_G~I_F`FkHxEiNzSzGvIrH|CzG|ApClZtEtTj@rWfUpKxU|C~g@qEfc@mTxGg[bOg[F_Es@}BgJ}NkHw[qCof@{RuNYmS|HyLpCq\\mf@
2,Bangalore,,,BangaloreLingarajasagara,Lingarajasagara,_z`oAsj_xM`n@gB~Auu@mQ`@iZh_@
2,Bangalore,,,BangaloreDenkanikottai,Denkanikottai,obpkAyexyMkAaRtBcOxf@{Sfw@wTbHxTj@lElAh@ALMDHHGNAFZr@ELHNZ??JHFVJENd@\\d@BERHJFBH@@GNHFNNLHR@V?j@QHBb@EPBTDNNHd@KBIPC@ADQDHHFNAJHHOJDL@WNAT]FHHGH^@\\DZFHLHUNIEUFY\\m@JGLEFKEEDa@HGNEDALSPBBMEMAOAWL@LMAIKEKJAs@OGJIFQMs@IcAeAuCIe@ZaAQkAkAcAMm@{@cDeBQkClDkDr@m@lBaHqTnWn@hGZ`W\\rL~IxJ|^`@zSyElT_Zdb@oe@lToSmBiW}AfH{Ed@NxDkMvE}C|ABDwBoEaC}FcIj@qH?FJNN?JGNOJuAUs@ZwBEk@SM_AMODB\\SZmARYZ?f@Rr@Th@`@Np@RXn@SxCYtCeA`AiBjD_@b@{BbA}@MYj@T^\\B\\ZFpAvB~A^lAOb@jAnEWrB\\hCd@KiHrE}MtDuJ{Ci@aAwCgG_VwZ{FuM?cH
2,Bangalore,,,BangaloreNeelakanta Agahara,Neelakanta Agahara,qxenAglvzMfEsOkGqCzL_v@cv@_NsGrVaEre@dHxNxWnM`Wk@
2,Bangalore,,,BangaloreMugalur,Mugalur,smumAie~yMlEDJmD`AkA`@nAbC_@rA_Fm@_@g@oDcBKMjAuCGyARpBoKa@eAmBO{DnL]hQxCR
2,Bangalore,51448,,BangaloreHesaraghatta,Hesaraghatta,eeeoAm`zwMsAhEkDtCi@BoNzGoAyLF}JdCJNiCvAi@zA{GyLgAh@}H^CLaB]wNrEPdEa@bBBGuJ{AsBnt@ap@vf@~TgPzbAcy@vM}@bJ
2,Bangalore,#N/A,,BangaloreOblapura,Oblapura,opanAe`_zM}CtN{GiBi@MN_AaOsHjB}FjAjBn@h@h@Vt@DvB?~BGbD@dCVhB\\@N
2,Bangalore,50174,,BangaloreDevanahalli,Devanahalli,uexoAebfyM~Gq|@wGcB`Rw_Coj@tY_R|Q}ArL}DzZsDbBuHaMkT_Cg\\mTqLbf@dIzThSbU{AkKr@aCpB_BlAyCb@w@zBSPbDlAdCVpD}DNaDv@_DsAfAbKh`AfQ~b@hh@
2,Bangalore,#N/A,,BangaloreConcorde Napa Valley,Concorde Napa Valley,ei`mAs}axMwIwImC{OdOcOrGxQ`@zOuI`G
